Created on 07-22-2018,http://www.CryptoDataDownload.com,,,,,,
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-07-01 07-PM,NEOUSD,30.83,30.9,30.67,30.72,125.11,3857.97
2018-07-01 06-PM,NEOUSD,31,31.03,30.83,30.83,278.65,8636.78
2018-07-01 05-PM,NEOUSD,31,31,30.83,31,87.6,2713.89
2018-07-01 04-PM,NEOUSD,30.91,31.13,30.67,31,97.29,3009.52
2018-07-01 03-PM,NEOUSD,30.04,30.94,29.8,30.91,591.67,17990.81
2018-07-01 02-PM,NEOUSD,30.7,30.8,30.03,30.04,1428.03,43260.6
2018-07-01 01-PM,NEOUSD,30.54,30.7,30.4,30.7,116.36,3551.74
2018-07-01 12-PM,NEOUSD,30.44,31,30.44,30.54,1351.27,41633.06
2018-07-01 11-AM,NEOUSD,30.5,30.67,30.4,30.44,518.24,15827.46
2018-07-01 10-AM,NEOUSD,30.47,30.5,30.21,30.5,15.68,477.64
2018-07-01 09-AM,NEOUSD,30.44,30.47,30.21,30.47,61.43,1863.42
2018-07-01 08-AM,NEOUSD,30.54,30.54,30.03,30.44,437.54,13175.85
2018-07-01 07-AM,NEOUSD,30.4,30.61,30.23,30.54,429.69,13142.01
2018-07-01 06-AM,NEOUSD,30.5,30.63,30.4,30.4,44.3,1353.06
2018-07-01 05-AM,NEOUSD,30.1,30.52,30.03,30.5,480.28,14579.41
2018-07-01 04-AM,NEOUSD,30.14,30.14,29.9,30.1,113.42,3395.65
2018-07-01 03-AM,NEOUSD,30.08,30.32,29.99,30.14,181.81,5501.93
2018-07-01 02-AM,NEOUSD,29.95,30.2,29.83,30.08,319.16,9542.28
2018-07-01 01-AM,NEOUSD,30.67,30.67,29.83,29.95,323.06,9737
2018-07-01 12-AM,NEOUSD,30.9,30.93,30.44,30.67,528.31,16174.06
2018-06-30 11-PM,NEOUSD,30.21,30.9,30.15,30.9,107.49,3289.33
2018-06-30 10-PM,NEOUSD,30.1,30.21,30.08,30.21,348.34,10506.95
2018-06-30 09-PM,NEOUSD,30.4,30.4,30.06,30.1,169.48,5101.58
2018-06-30 08-PM,NEOUSD,30,30.4,29.8,30.4,130.13,3914.81
2018-06-30 07-PM,NEOUSD,29.6,30.06,29.55,30,1200.29,35558.16
2018-06-30 06-PM,NEOUSD,30.44,30.44,29.6,29.6,1885.23,56016.54
2018-06-30 05-PM,NEOUSD,30.59,30.66,30.21,30.44,273.05,8350.09
2018-06-30 04-PM,NEOUSD,30.75,30.89,30.27,30.59,1123.12,34521.8
2018-06-30 03-PM,NEOUSD,31,31,30.5,30.75,157.28,4816.72
2018-06-30 02-PM,NEOUSD,31.6,31.6,30.32,31,1845.15,56549.76
2018-06-30 01-PM,NEOUSD,31.42,31.6,31.37,31.6,108.75,3429.44
2018-06-30 12-PM,NEOUSD,31.36,31.98,31.36,31.42,233.78,7371.23
2018-06-30 11-AM,NEOUSD,31,31.36,30.93,31.36,282.15,8760.43
2018-06-30 10-AM,NEOUSD,31.3,31.5,31,31,163.97,5124.25
2018-06-30 09-AM,NEOUSD,31.31,31.31,31,31.3,645.68,20081.42
2018-06-30 08-AM,NEOUSD,31,31.37,30.92,31.31,759.61,23806.29
2018-06-30 07-AM,NEOUSD,30.9,31.13,30.68,31,113.91,3518.96
2018-06-30 06-AM,NEOUSD,31.5,31.5,30.9,30.9,129.94,4053.62
2018-06-30 05-AM,NEOUSD,31.27,31.5,30.95,31.5,473.86,14840.31
2018-06-30 04-AM,NEOUSD,30.89,31.27,30.67,31.27,336.85,10457.11
2018-06-30 03-AM,NEOUSD,30.89,31.36,30.89,30.89,506.28,15702.05
2018-06-30 02-AM,NEOUSD,30.98,31.5,30.8,30.89,1560.82,48722.55
2018-06-30 01-AM,NEOUSD,30.21,32.07,30.03,30.98,2517.73,79080.01
2018-06-30 12-AM,NEOUSD,29.36,30.3,29.36,30.21,734.6,21998.09
2018-06-29 11-PM,NEOUSD,30.09,30.17,29.36,29.36,1008.7,30112.39
2018-06-29 10-PM,NEOUSD,28.77,30.17,28.64,30.09,1157.3,33956.67
2018-06-29 09-PM,NEOUSD,28.4,28.8,28.36,28.77,122.57,3515.21
2018-06-29 08-PM,NEOUSD,27.68,28.4,27.68,28.4,59.61,1687.03
2018-06-29 07-PM,NEOUSD,28.15,28.2,27.68,27.68,324.94,9080.12
2018-06-29 06-PM,NEOUSD,28.21,28.26,28.1,28.15,35.98,1014.17
2018-06-29 05-PM,NEOUSD,28.06,28.23,27.76,28.21,5.42,150.92
2018-06-29 04-PM,NEOUSD,28.01,28.3,28.01,28.06,154.13,4325.88
2018-06-29 03-PM,NEOUSD,28.03,28.22,28.01,28.01,158.65,4458.94
2018-06-29 02-PM,NEOUSD,27.5,28.03,27.5,28.03,433.66,12086.36
2018-06-29 01-PM,NEOUSD,27.8,27.8,27.34,27.5,2112.88,58097.62
2018-06-29 12-PM,NEOUSD,28.03,28.13,27.8,27.8,57.09,1598.6
2018-06-29 11-AM,NEOUSD,28.07,28.15,27.7,28.03,348.29,9688.72
2018-06-29 10-AM,NEOUSD,28.15,28.38,28.07,28.07,436.34,12321.51
2018-06-29 09-AM,NEOUSD,27.86,28.15,27.86,28.15,710.35,19850.86
2018-06-29 08-AM,NEOUSD,27.73,28.3,27.73,27.86,1082.7,30431.67
